Numero_Moradia;Nome_Area_Risco;Fonte_Risco;Area_Risco_Geologico;Area_Suscetivel_Alagamento
38915764;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916664;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
224372538;[Geológico] Rua Vinte quatro de junho - Bairro São Luis + [Inundação] Inundação CPRM - Alta;CPRM;Sim;Sim
223871133;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38911306;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
100727330;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916817;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38921294;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38918540;[Geológico] Distrito de Rio Possmoser - Rodovia ES-264 + [Inundação] Alto Rio Possmoser;CPRM + Outros;Sim;Sim
38909708;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489861;[Geológico] Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;CPRM;Sim;Nao
113193721;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196326915;[Geológico] Rua Sofia Heinke Erdmman - Bairro São Luis;CPRM;Sim;Nao
216517863;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
197053939;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196329417;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38918723;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38916451;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
97551606;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909532;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94088979;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489379;[Geológico] Bairro Vila Roos;CPRM;Sim;Nao
220788881;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94089360;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
201138781;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38919640;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38917566;[Geológico] Rua Sofia Heinke Erdmman - Bairro São Luis;CPRM;Sim;Nao
38916365;[Geológico] Setor S20R3 + [Inundação] Inundação CPRM - Alta;CPRM + CPRM/SEDURB;Sim;Sim
216004523;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196184821;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
94091065;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
216518096;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909446;[Geológico] Rua Vinte quatro de junho - Bairro São Luis;CPRM;Sim;Nao
38916323;[Geológico] Setor S20R3;CPRM/SEDURB;Sim;Nao
223871248;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196322251;[Geológico] Setor S3R3;CPRM/SEDURB;Sim;Nao
197071920;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
97551668;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38922335;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223000340;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196329322;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
101282531;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
196335104;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38916682;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909546;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
216517800;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
101282366;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
220460682;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909971;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909843;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
220788895;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
220789078;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38918747;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
196333002;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489745;[Geológico] Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;CPRM;Sim;Nao
216004180;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
223489813;[Geológico] Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;CPRM;Sim;Nao
38914478;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38918591;[Inundação] Alto Rio Possmoser;Outros;Nao;Sim
38916075;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
38909443;[Geológico] Rua Vinte quatro de junho - Bairro São Luis;CPRM;Sim;Nao
38916522;[Geológico] Setor S20R3 + [Inundação] Inundação CPRM - Alta;CPRM + CPRM/SEDURB;Sim;Sim
38916414;[Inundação] Inundação CPRM - Alta;CPRM;Nao;Sim
216519087;[Geológico] Rua Vinte quatro de junho - Bairro São Luis;CPRM;Sim;Nao
97468594;[Geológico] Setor S3R3;CPRM/SEDURB;Sim;Nao
