id;localidade;logradouro;numero;estabelecimento;lat;lon;area_risco;setor_risco;grau_risco
223871472;CENTRO;GUSTAVO C A BERGER;100;;-20.02538;-40.741784;Sem nome;S3R3;Alto
223871477;CENTRO;GUSTAVO C A BERGER;100;;-20.025279;-40.741992;Sem nome;S3R3;Alto
223871479;CENTRO;GUSTAVO C A BERGER;110;;-20.025319;-40.742042;Sem nome;S3R3;Alto
216518617;CENTRO;GUILHERME FLEGLER;0;;-20.014387;-40.746163;Mapeamento de Risco SEDURB;S8R3;Alto
94089341;CENTRO;GUILHERME FLEGLER;0;;-20.01456;-40.746975;Mapeamento de Risco SEDURB;S8R3;Alto
97551710;CENTRO;GALERANO AFONSO VENTURINI;1145;LOJA VAGA;-20.009146;-40.744582;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
97551712;CENTRO;GALERANO AFONSO VENTURINI;1135;;-20.009253;-40.744486;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
97551713;CENTRO;GALERANO AFONSO VENTURINI;1055;MARMORARIA SANTA MARIA;-20.009422;-40.744546;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
97551711;CENTRO;GALERANO AFONSO VENTURINI;1135;;-20.009272;-40.744507;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
97551714;CENTRO;GALERANO AFONSO VENTURINI;1055;;-20.009497;-40.74456;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
94089405;CENTRO;ROSALVA LOPES JACO;45;;-20.011886;-40.745721;Sem nome;S16R3;Alto
97551732;CENTRO;ROSALVA LOPES JACO;0;;-20.011863;-40.745867;Sem nome;S16R3;Alto
216518944;CENTRO;ROSALVA LOPES JACO;69;;-20.011948;-40.745723;Sem nome;S16R3;Alto
216518951;CENTRO;ROSALVA LOPES JACO;35;;-20.012039;-40.745558;Sem nome;S16R3;Alto
216518937;CENTRO;ROSALVA LOPES JACO;69;;-20.011957;-40.745632;Sem nome;S16R3;Alto
216518976;CENTRO;ROSALVA LOPES JACO;0;;-20.012194;-40.745614;Sem nome;S16R3;Alto
94089416;CENTRO;GALERANO AFONSO VENTURINI;625;;-20.013306;-40.745045;Mapeamento de Risco SEDURB;S8R3;Alto
38910069;CENTRO;GALERANO AFONSO VENTURINI;1177;;-20.008634;-40.744523;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
38910072;CENTRO;GALERANO AFONSO VENTURINI;1775;;-20.008706;-40.744542;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
38910073;CENTRO;GALERANO AFONSO VENTURINI;1175;;-20.008856;-40.744333;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
38910074;CENTRO;GALERANO AFONSO VENTURINI;0;GAS SAO LUIS;-20.008923;-40.744503;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
38910076;CENTRO;GALERANO AFONSO VENTURINI;1167;;-20.008816;-40.744398;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
38910077;CENTRO;GALERANO AFONSO VENTURINI;1185;ESTEVAO MOTOS;-20.008704;-40.744262;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
38910078;CENTRO;GALERANO AFONSO VENTURINI;1167;;-20.008823;-40.744386;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
196564072;SAIDA DE SMJ;CARLITO HOFFMANN;0;;-20.038878;-40.730931;Beira Rio;S1R3;Alto
224372510;CENTRO;SEM DENOMINACAO;0;;-20.009892;-40.743545;Sem nome;S14R3;Alto
224372512;CENTRO;SEM DENOMINACAO;1;;-20.010016;-40.743461;Sem nome;S14R3;Alto
38909405;CENTRO;SEM DENOMINACAO;57;;-20.010139;-40.743624;Sem nome;S14R3;Alto
38909406;CENTRO;SEM DENOMINACAO;0;;-20.009872;-40.743604;Sem nome;S14R3;Alto
38909407;CENTRO;SEM DENOMINACAO;3;;-20.010054;-40.743652;Sem nome;S14R3;Alto
38909408;CENTRO;SEM DENOMINACAO;0;;-20.009927;-40.74347;Sem nome;S14R3;Alto
224372533;CENTRO;PROJETADA B;2;;-20.010072;-40.743544;Sem nome;S14R3;Alto
224372535;CENTRO;PROJETADA B;1;;-20.010057;-40.743438;Sem nome;S14R3;Alto
224372537;CENTRO;PROJETADA B;70;;-20.009119;-40.743456;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
224372538;CENTRO;PROJETADA B;1;;-20.008843;-40.743201;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
224372540;CENTRO;PROJETADA B;103;;-20.008827;-40.74315;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
224372542;CENTRO;PROJETADA B;103;;-20.008676;-40.743326;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
224372543;CENTRO;PROJETADA B;103;;-20.008696;-40.743175;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
224372544;CENTRO;PROJETADA B;0;;-20.008876;-40.743373;Rua Vinte quatro de junho - Bairro São Luis;ES_SM_SR_02_CPRM;Muito Alto
223489880;VILA JETIBA;KURT CARL LUDWIG KERCKOFF;0;;-20.019812;-40.763253;Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;ES_SM_SR_03_CPRM;Muito Alto
223489959;SAO SEBASTIAO;KURT CARL LUDWIG KERCKOFF;0;;-20.020586;-40.765312;Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;ES_SM_SR_03_CPRM;Muito Alto
223489961;SAO SEBASTIAO;KURT CARL LUDWIG KERCKOFF;0;;-20.020379;-40.765231;Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;ES_SM_SR_03_CPRM;Muito Alto
223489964;SAO SEBASTIAO;KURT CARL LUDWIG KERCKOFF;0;;-20.020618;-40.765114;Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;ES_SM_SR_03_CPRM;Muito Alto
223489967;SAO SEBASTIAO;KURT CARL LUDWIG KERCKOFF;0;;-20.02062;-40.765044;Rua Kurt Ludwig Kerchoft - Bairro Vila Jetibá;ES_SM_SR_03_CPRM;Muito Alto
